Date,Parameter,Value,Unit
2020-12-03 08:45:11,PRESENCE,1,
2020-12-03 08:54:44,PRESENCE,0,
2020-12-03 08:58:05,PRESENCE,1,
2020-12-03 09:08:11,PRESENCE,0,
2020-12-03 09:08:21,PRESENCE,1,
2020-12-03 09:12:27,PRESENCE,0,
2020-12-03 09:16:31,PRESENCE,1,
2020-12-03 09:20:44,PRESENCE,0,
2020-12-03 09:21:11,PRESENCE,1,
2020-12-03 09:25:23,PRESENCE,0,
2020-12-03 09:26:17,PRESENCE,1,
2020-12-03 09:38:22,PRESENCE,0,
2020-12-03 09:42:08,PRESENCE,1,
2020-12-03 09:46:32,PRESENCE,0,
2020-12-03 10:14:46,PRESENCE,1,
2020-12-03 10:20:10,PRESENCE,0,
2020-12-03 11:42:19,PRESENCE,1,
2020-12-03 11:47:43,PRESENCE,0,
2020-12-03 12:01:13,PRESENCE,1,
2020-12-03 12:12:44,PRESENCE,0,
2020-12-03 12:20:38,PRESENCE,1,
2020-12-03 12:35:24,PRESENCE,0,
2020-12-03 12:44:27,PRESENCE,1,
2020-12-03 12:56:38,PRESENCE,0,
2020-12-03 14:06:32,PRESENCE,1,
2020-12-03 14:16:02,PRESENCE,0,
2020-12-03 17:26:23,PRESENCE,1,
2020-12-03 17:30:32,PRESENCE,0,
2020-12-03 17:40:29,PRESENCE,1,
2020-12-03 17:51:59,PRESENCE,0,
2020-12-03 18:22:46,PRESENCE,1,
2020-12-03 18:29:51,PRESENCE,0,
2020-12-03 18:31:24,PRESENCE,1,
2020-12-03 18:35:49,PRESENCE,0,
2020-12-03 18:36:48,PRESENCE,1,
2020-12-03 18:51:48,PRESENCE,0,
2020-12-03 19:00:11,PRESENCE,1,
2020-12-03 19:06:04,PRESENCE,0,
2020-12-03 19:09:30,PRESENCE,1,
2020-12-03 19:15:47,PRESENCE,0,
2020-12-03 19:18:01,PRESENCE,1,
2020-12-03 19:28:06,PRESENCE,0,
2020-12-03 19:29:18,PRESENCE,1,
2020-12-03 19:33:24,PRESENCE,0,
2020-12-03 19:39:19,PRESENCE,1,
2020-12-03 19:43:26,PRESENCE,0,
2020-12-03 19:44:09,PRESENCE,1,
2020-12-03 19:50:25,PRESENCE,0,
2020-12-04 04:33:35,PRESENCE,1,
2020-12-04 04:44:19,PRESENCE,0,
2020-12-04 04:49:58,PRESENCE,1,
2020-12-04 04:54:48,PRESENCE,0,
2020-12-04 05:56:25,PRESENCE,1,
2020-12-04 06:06:03,PRESENCE,0,
2020-12-04 09:27:12,PRESENCE,1,
2020-12-04 09:37:05,PRESENCE,0,
2020-12-04 09:37:51,PRESENCE,1,
2020-12-04 09:42:55,PRESENCE,0,
2020-12-04 09:45:25,PRESENCE,1,
2020-12-04 10:02:01,PRESENCE,0,
2020-12-04 10:22:19,PRESENCE,1,
2020-12-04 10:30:16,PRESENCE,0,
2020-12-04 10:41:14,PRESENCE,1,
2020-12-04 10:51:43,PRESENCE,0,
2020-12-04 10:53:35,PRESENCE,1,
2020-12-04 11:01:57,PRESENCE,0,
2020-12-04 11:46:58,PRESENCE,1,
2020-12-04 11:51:33,PRESENCE,0,
2020-12-04 12:39:21,PRESENCE,1,
2020-12-04 13:02:55,PRESENCE,0,
2020-12-04 13:10:10,PRESENCE,1,
2020-12-04 13:16:01,PRESENCE,0,
2020-12-04 13:19:47,PRESENCE,1,
2020-12-04 13:25:05,PRESENCE,0,
2020-12-04 13:59:38,PRESENCE,1,
2020-12-04 14:14:10,PRESENCE,0,
2020-12-04 14:46:22,PRESENCE,1,
2020-12-04 15:05:36,PRESENCE,0,
2020-12-04 16:14:32,PRESENCE,1,
2020-12-04 16:19:20,PRESENCE,0,
2020-12-04 16:40:33,PRESENCE,1,
2020-12-04 16:44:40,PRESENCE,0,
2020-12-04 16:45:20,PRESENCE,1,
2020-12-04 16:52:40,PRESENCE,0,
2020-12-04 16:52:48,PRESENCE,1,
2020-12-04 16:56:55,PRESENCE,0,
2020-12-04 17:05:16,PRESENCE,1,
2020-12-04 17:10:47,PRESENCE,0,
2020-12-04 17:11:15,PRESENCE,1,
2020-12-04 17:18:58,PRESENCE,0,
2020-12-04 17:38:30,PRESENCE,1,
2020-12-04 17:55:43,PRESENCE,0,
2020-12-04 18:01:22,PRESENCE,1,
2020-12-04 18:06:46,PRESENCE,0,
2020-12-04 18:09:38,PRESENCE,1,
2020-12-04 18:13:44,PRESENCE,0,
2020-12-04 18:24:25,PRESENCE,1,
2020-12-04 18:29:31,PRESENCE,0,
2020-12-04 18:30:22,PRESENCE,1,
2020-12-04 18:34:56,PRESENCE,0,
2020-12-04 19:34:24,PRESENCE,1,
2020-12-04 19:39:39,PRESENCE,0,
2020-12-04 19:47:41,PRESENCE,1,
2020-12-04 20:04:42,PRESENCE,0,
2020-12-04 20:06:20,PRESENCE,1,
2020-12-04 20:24:34,PRESENCE,0,
2020-12-04 20:24:55,PRESENCE,1,
2020-12-04 20:29:22,PRESENCE,0,
2020-12-04 20:34:50,PRESENCE,1,
2020-12-04 20:40:25,PRESENCE,0,
2020-12-04 23:14:17,PRESENCE,1,
2020-12-04 23:20:31,PRESENCE,0,
2020-12-04 23:25:21,PRESENCE,1,
2020-12-04 23:29:28,PRESENCE,0,
2020-12-05 08:01:38,PRESENCE,1,
2020-12-05 08:06:56,PRESENCE,0,
2020-12-05 08:16:05,PRESENCE,1,
2020-12-05 08:21:23,PRESENCE,0,
2020-12-05 08:24:27,PRESENCE,1,
2020-12-05 08:32:04,PRESENCE,0,
2020-12-05 08:46:34,PRESENCE,1,
2020-12-05 09:03:01,PRESENCE,0,
2020-12-05 09:08:12,PRESENCE,1,
2020-12-05 09:32:03,PRESENCE,0,
2020-12-05 09:36:18,PRESENCE,1,
2020-12-05 09:40:26,PRESENCE,0,
2020-12-05 09:40:42,PRESENCE,1,
2020-12-05 09:47:07,PRESENCE,0,
2020-12-05 11:02:35,PRESENCE,1,
2020-12-05 11:07:23,PRESENCE,0,
2020-12-05 11:16:09,PRESENCE,1,
2020-12-05 11:20:24,PRESENCE,0,
2020-12-05 11:32:54,PRESENCE,1,
2020-12-05 11:37:00,PRESENCE,0,
2020-12-05 13:03:47,PRESENCE,1,
2020-12-05 13:13:57,PRESENCE,0,
2020-12-05 13:14:53,PRESENCE,1,
2020-12-05 13:27:55,PRESENCE,0,
2020-12-05 13:45:16,PRESENCE,1,
2020-12-05 13:49:43,PRESENCE,0,
2020-12-05 13:53:19,PRESENCE,1,
2020-12-05 13:57:25,PRESENCE,0,
2020-12-05 13:58:01,PRESENCE,1,
2020-12-05 14:11:35,PRESENCE,0,
2020-12-05 14:21:16,PRESENCE,1,
2020-12-05 14:35:49,PRESENCE,0,
2020-12-05 14:35:55,PRESENCE,1,
2020-12-05 14:43:05,PRESENCE,0,
2020-12-05 14:46:07,PRESENCE,1,
2020-12-05 14:50:35,PRESENCE,0,
2020-12-05 15:05:04,PRESENCE,1,
2020-12-05 15:10:09,PRESENCE,0,
2020-12-05 15:27:07,PRESENCE,1,
2020-12-05 15:31:19,PRESENCE,0,
2020-12-05 15:31:57,PRESENCE,1,
2020-12-05 15:39:21,PRESENCE,0,
2020-12-05 15:43:57,PRESENCE,1,
2020-12-05 15:49:25,PRESENCE,0,
2020-12-05 16:05:51,PRESENCE,1,
2020-12-05 16:12:02,PRESENCE,0,
2020-12-05 16:24:01,PRESENCE,1,
2020-12-05 16:28:18,PRESENCE,0,
2020-12-05 16:29:22,PRESENCE,1,
2020-12-05 16:35:24,PRESENCE,0,
2020-12-05 16:51:27,PRESENCE,1,
2020-12-05 16:56:57,PRESENCE,0,
2020-12-05 17:00:57,PRESENCE,1,
2020-12-05 17:06:55,PRESENCE,0,
2020-12-05 17:07:50,PRESENCE,1,
2020-12-05 17:12:15,PRESENCE,0,
2020-12-05 17:46:54,PRESENCE,1,
2020-12-05 17:51:00,PRESENCE,0,
2020-12-05 17:53:19,PRESENCE,1,
2020-12-05 17:58:03,PRESENCE,0,
2020-12-05 17:58:22,PRESENCE,1,
2020-12-05 18:12:29,PRESENCE,0,
2020-12-05 18:17:30,PRESENCE,1,
2020-12-05 18:22:58,PRESENCE,0,
2020-12-05 18:24:21,PRESENCE,1,
2020-12-05 18:40:28,PRESENCE,0,
2020-12-05 18:47:00,PRESENCE,1,
2020-12-05 19:08:04,PRESENCE,0,
2020-12-05 19:14:01,PRESENCE,1,
2020-12-05 19:20:45,PRESENCE,0,
2020-12-05 19:51:09,PRESENCE,1,
2020-12-05 19:55:52,PRESENCE,0,
2020-12-05 20:23:54,PRESENCE,1,
2020-12-05 20:28:00,PRESENCE,0,
2020-12-06 05:04:23,PRESENCE,1,
2020-12-06 05:15:35,PRESENCE,0,
2020-12-06 05:17:08,PRESENCE,1,
2020-12-06 05:21:48,PRESENCE,0,
2020-12-06 06:13:18,PRESENCE,1,
2020-12-06 06:18:24,PRESENCE,0,
2020-12-06 07:54:39,PRESENCE,1,
2020-12-06 07:59:41,PRESENCE,0,
2020-12-06 08:01:01,PRESENCE,1,
2020-12-06 08:13:17,PRESENCE,0,
2020-12-06 08:14:32,PRESENCE,1,
2020-12-06 08:28:36,PRESENCE,0,
2020-12-06 08:29:22,PRESENCE,1,
2020-12-06 08:39:58,PRESENCE,0,
2020-12-06 08:58:26,PRESENCE,1,
2020-12-06 09:04:45,PRESENCE,0,
2020-12-06 09:50:12,PRESENCE,1,
2020-12-06 09:54:47,PRESENCE,0,
2020-12-06 10:43:08,PRESENCE,1,
2020-12-06 10:47:44,PRESENCE,0,
2020-12-06 11:43:19,PRESENCE,1,
2020-12-06 11:52:12,PRESENCE,0,
2020-12-06 11:53:21,PRESENCE,1,
2020-12-06 11:59:49,PRESENCE,0,
2020-12-06 12:07:42,PRESENCE,1,
2020-12-06 12:19:01,PRESENCE,0,
2020-12-06 12:19:50,PRESENCE,1,
2020-12-06 12:28:33,PRESENCE,0,
2020-12-06 12:35:38,PRESENCE,1,
2020-12-06 12:40:53,PRESENCE,0,
2020-12-06 12:41:24,PRESENCE,1,
2020-12-06 12:46:36,PRESENCE,0,
2020-12-06 13:04:26,PRESENCE,1,
2020-12-06 13:08:32,PRESENCE,0,
2020-12-06 13:15:44,PRESENCE,1,
2020-12-06 13:23:55,PRESENCE,0,
2020-12-06 13:31:53,PRESENCE,1,
2020-12-06 13:37:43,PRESENCE,0,
2020-12-06 14:03:46,PRESENCE,1,
2020-12-06 14:09:51,PRESENCE,0,
2020-12-06 14:22:27,PRESENCE,1,
2020-12-06 14:29:15,PRESENCE,0,
2020-12-06 16:08:46,PRESENCE,1,
2020-12-06 16:16:55,PRESENCE,0,
2020-12-06 16:21:00,PRESENCE,1,
2020-12-06 16:25:42,PRESENCE,0,
2020-12-06 16:31:52,PRESENCE,1,
2020-12-06 16:40:44,PRESENCE,0,
2020-12-06 17:18:06,PRESENCE,1,
2020-12-06 17:39:42,PRESENCE,0,
2020-12-06 17:45:06,PRESENCE,1,
2020-12-06 17:57:47,PRESENCE,0,
2020-12-06 18:02:55,PRESENCE,1,
2020-12-06 18:08:59,PRESENCE,0,
2020-12-06 18:13:45,PRESENCE,1,
2020-12-06 18:20:18,PRESENCE,0,
2020-12-06 22:13:17,PRESENCE,1,
2020-12-06 22:17:24,PRESENCE,0,
2020-12-07 06:01:28,PRESENCE,1,
2020-12-07 06:15:47,PRESENCE,0,
2020-12-07 06:25:47,PRESENCE,1,
2020-12-07 06:30:34,PRESENCE,0,
2020-12-07 06:31:35,PRESENCE,1,
2020-12-07 06:36:27,PRESENCE,0,
2020-12-07 06:43:42,PRESENCE,1,
2020-12-07 06:57:54,PRESENCE,0,
2020-12-07 07:18:47,PRESENCE,1,
2020-12-07 07:33:56,PRESENCE,0,
2020-12-07 07:41:23,PRESENCE,1,
2020-12-07 07:48:21,PRESENCE,0,
2020-12-07 07:49:23,PRESENCE,1,
2020-12-07 07:53:56,PRESENCE,0,
2020-12-07 08:11:44,PRESENCE,1,
2020-12-07 08:19:38,PRESENCE,0,
2020-12-07 08:21:19,PRESENCE,1,
2020-12-07 08:41:16,PRESENCE,0,
2020-12-07 08:54:25,PRESENCE,1,
2020-12-07 08:58:48,PRESENCE,0,
2020-12-07 09:44:25,PRESENCE,1,
2020-12-07 09:48:40,PRESENCE,0,
2020-12-07 10:44:56,PRESENCE,1,
2020-12-07 10:55:04,PRESENCE,0,
2020-12-07 11:00:47,PRESENCE,1,
2020-12-07 11:08:52,PRESENCE,0,
2020-12-07 11:22:45,PRESENCE,1,
2020-12-07 11:42:10,PRESENCE,0,
2020-12-07 11:50:40,PRESENCE,1,
2020-12-07 11:58:40,PRESENCE,0,
2020-12-07 11:59:49,PRESENCE,1,
2020-12-07 12:07:41,PRESENCE,0,
2020-12-07 12:10:54,PRESENCE,1,
2020-12-07 12:20:17,PRESENCE,0,
2020-12-07 12:24:39,PRESENCE,1,
2020-12-07 12:35:52,PRESENCE,0,
2020-12-07 12:45:35,PRESENCE,1,
2020-12-07 12:50:46,PRESENCE,0,
2020-12-07 14:39:36,PRESENCE,1,
2020-12-07 15:19:32,PRESENCE,0,
2020-12-07 15:45:22,PRESENCE,1,
2020-12-07 15:54:22,PRESENCE,0,
2020-12-07 16:38:49,PRESENCE,1,
2020-12-07 16:42:56,PRESENCE,0,
2020-12-07 18:02:30,PRESENCE,1,
2020-12-07 18:14:49,PRESENCE,0,
2020-12-07 18:14:53,PRESENCE,1,
2020-12-07 18:23:15,PRESENCE,0,
2020-12-07 18:29:07,PRESENCE,1,
2020-12-07 18:43:15,PRESENCE,0,
2020-12-07 18:46:10,PRESENCE,1,
2020-12-07 18:51:55,PRESENCE,0,
2020-12-07 19:02:28,PRESENCE,1,
2020-12-07 19:19:04,PRESENCE,0,
2020-12-07 19:27:30,PRESENCE,1,
2020-12-07 19:32:01,PRESENCE,0,
2020-12-07 21:28:37,PRESENCE,1,
2020-12-07 21:32:59,PRESENCE,0,
2020-12-07 23:38:34,PRESENCE,1,
2020-12-07 23:43:27,PRESENCE,0,
2020-12-08 04:14:32,PRESENCE,1,
2020-12-08 04:23:29,PRESENCE,0,
2020-12-08 04:29:48,PRESENCE,1,
2020-12-08 04:34:58,PRESENCE,0,
2020-12-08 06:53:28,PRESENCE,1,
2020-12-08 07:04:57,PRESENCE,0,
2020-12-08 07:10:42,PRESENCE,1,
2020-12-08 07:16:30,PRESENCE,0,
2020-12-08 07:29:16,PRESENCE,1,
2020-12-08 07:37:35,PRESENCE,0,
2020-12-08 07:39:02,PRESENCE,1,
2020-12-08 07:43:30,PRESENCE,0,
2020-12-08 07:54:08,PRESENCE,1,
2020-12-08 07:59:11,PRESENCE,0,
2020-12-08 09:14:01,PRESENCE,1,
2020-12-08 09:19:36,PRESENCE,0,
2020-12-08 09:24:04,PRESENCE,1,
2020-12-08 09:29:52,PRESENCE,0,
2020-12-08 09:42:18,PRESENCE,1,
2020-12-08 09:46:43,PRESENCE,0,
2020-12-08 10:37:51,PRESENCE,1,
2020-12-08 10:41:58,PRESENCE,0,
2020-12-08 11:07:44,PRESENCE,1,
2020-12-08 11:11:51,PRESENCE,0,
2020-12-08 11:13:51,PRESENCE,1,
2020-12-08 11:27:29,PRESENCE,0,
2020-12-08 11:38:58,PRESENCE,1,
2020-12-08 11:43:33,PRESENCE,0,
2020-12-08 11:53:03,PRESENCE,1,
2020-12-08 11:58:11,PRESENCE,0,
2020-12-08 12:00:44,PRESENCE,1,
2020-12-08 12:05:51,PRESENCE,0,
2020-12-08 12:06:16,PRESENCE,1,
2020-12-08 12:18:52,PRESENCE,0,
2020-12-08 12:26:21,PRESENCE,1,
2020-12-08 12:30:29,PRESENCE,0,
2020-12-08 12:37:53,PRESENCE,1,
2020-12-08 12:43:34,PRESENCE,0,
2020-12-08 12:44:39,PRESENCE,1,
2020-12-08 12:58:40,PRESENCE,0,
2020-12-08 12:58:49,PRESENCE,1,
2020-12-08 13:04:47,PRESENCE,0,
2020-12-08 13:05:15,PRESENCE,1,
2020-12-08 13:10:26,PRESENCE,0,
2020-12-08 13:14:48,PRESENCE,1,
2020-12-08 13:23:13,PRESENCE,0,
2020-12-08 13:37:43,PRESENCE,1,
2020-12-08 13:45:49,PRESENCE,0,
2020-12-08 13:47:35,PRESENCE,1,
2020-12-08 13:53:33,PRESENCE,0,
2020-12-08 14:04:20,PRESENCE,1,
2020-12-08 14:08:32,PRESENCE,0,
2020-12-08 14:12:07,PRESENCE,1,
2020-12-08 14:16:26,PRESENCE,0,
2020-12-08 14:19:26,PRESENCE,1,
2020-12-08 14:24:07,PRESENCE,0,
2020-12-08 14:29:30,PRESENCE,1,
2020-12-08 14:33:41,PRESENCE,0,
2020-12-08 14:35:53,PRESENCE,1,
2020-12-08 14:41:50,PRESENCE,0,
2020-12-08 14:43:10,PRESENCE,1,
2020-12-08 14:48:16,PRESENCE,0,
2020-12-08 14:49:28,PRESENCE,1,
2020-12-08 14:53:36,PRESENCE,0,
2020-12-08 14:58:22,PRESENCE,1,
2020-12-08 15:03:01,PRESENCE,0,
2020-12-08 15:06:52,PRESENCE,1,
2020-12-08 15:25:26,PRESENCE,0,
2020-12-08 15:39:30,PRESENCE,1,
2020-12-08 15:50:42,PRESENCE,0,
2020-12-08 15:51:53,PRESENCE,1,
2020-12-08 15:59:27,PRESENCE,0,
2020-12-08 17:14:57,PRESENCE,1,
2020-12-08 17:31:46,PRESENCE,0,
2020-12-08 17:43:37,PRESENCE,1,
2020-12-08 17:56:42,PRESENCE,0,
2020-12-08 18:00:31,PRESENCE,1,
2020-12-08 18:10:23,PRESENCE,0,
2020-12-08 18:13:14,PRESENCE,1,
2020-12-08 18:21:51,PRESENCE,0,
2020-12-08 21:38:45,PRESENCE,1,
2020-12-08 21:45:46,PRESENCE,0,
2020-12-09 05:12:03,PRESENCE,1,
2020-12-09 05:22:15,PRESENCE,0,
2020-12-09 05:24:27,PRESENCE,1,
2020-12-09 05:29:09,PRESENCE,0,
2020-12-09 06:38:17,PRESENCE,1,
2020-12-09 06:45:00,PRESENCE,0,
2020-12-09 06:49:58,PRESENCE,1,
2020-12-09 06:57:05,PRESENCE,0,
2020-12-09 07:05:02,PRESENCE,1,
2020-12-09 07:12:29,PRESENCE,0,
2020-12-09 07:13:05,PRESENCE,1,
2020-12-09 07:19:21,PRESENCE,0,
2020-12-09 07:31:45,PRESENCE,1,
2020-12-09 07:41:59,PRESENCE,0,
2020-12-09 07:44:52,PRESENCE,1,
2020-12-09 07:50:57,PRESENCE,0,
2020-12-09 08:09:00,PRESENCE,1,
2020-12-09 08:13:47,PRESENCE,0,
2020-12-09 08:19:22,PRESENCE,1,
2020-12-09 08:24:09,PRESENCE,0,
2020-12-09 08:26:52,PRESENCE,1,
2020-12-09 08:30:58,PRESENCE,0,
2020-12-09 09:10:03,PRESENCE,1,
2020-12-09 09:19:04,PRESENCE,0,
2020-12-09 10:36:20,PRESENCE,1,
2020-12-09 10:47:09,PRESENCE,0,
2020-12-09 11:00:29,PRESENCE,1,
2020-12-09 11:04:35,PRESENCE,0,
2020-12-09 11:06:27,PRESENCE,1,
2020-12-09 11:11:04,PRESENCE,0,
2020-12-09 11:30:57,PRESENCE,1,
2020-12-09 11:40:16,PRESENCE,0,
2020-12-09 11:40:50,PRESENCE,1,
2020-12-09 11:45:49,PRESENCE,0,
2020-12-09 11:48:32,PRESENCE,1,
2020-12-09 11:56:05,PRESENCE,0,
2020-12-09 11:59:07,PRESENCE,1,
2020-12-09 12:06:00,PRESENCE,0,
2020-12-09 12:09:25,PRESENCE,1,
2020-12-09 12:14:47,PRESENCE,0,
2020-12-09 12:17:40,PRESENCE,1,
2020-12-09 12:29:56,PRESENCE,0,
2020-12-09 12:39:38,PRESENCE,1,
2020-12-09 12:45:04,PRESENCE,0,
2020-12-09 13:16:09,PRESENCE,1,
2020-12-09 13:27:29,PRESENCE,0,
2020-12-09 15:14:32,PRESENCE,1,
2020-12-09 15:20:07,PRESENCE,0,
2020-12-09 15:29:23,PRESENCE,1,
2020-12-09 15:39:56,PRESENCE,0,
2020-12-09 15:40:06,PRESENCE,1,
2020-12-09 15:44:32,PRESENCE,0,
2020-12-09 18:06:51,PRESENCE,1,
2020-12-09 18:13:14,PRESENCE,0,
2020-12-09 18:15:38,PRESENCE,1,
2020-12-09 18:19:44,PRESENCE,0,
2020-12-09 18:31:53,PRESENCE,1,
2020-12-09 18:36:06,PRESENCE,0,
2020-12-09 18:39:45,PRESENCE,1,
2020-12-09 18:49:22,PRESENCE,0,
2020-12-09 19:17:53,PRESENCE,1,
2020-12-09 19:22:41,PRESENCE,0,
2020-12-09 19:28:14,PRESENCE,1,
2020-12-09 19:38:06,PRESENCE,0,
2020-12-09 19:41:00,PRESENCE,1,
2020-12-09 19:45:22,PRESENCE,0,
2020-12-09 19:51:14,PRESENCE,1,
2020-12-09 20:03:31,PRESENCE,0,
2020-12-10 04:37:27,PRESENCE,1,
2020-12-10 04:41:59,PRESENCE,0,
2020-12-10 05:16:07,PRESENCE,1,
2020-12-10 05:31:18,PRESENCE,0,
2020-12-10 05:47:28,PRESENCE,1,
2020-12-10 05:52:59,PRESENCE,0,
2020-12-10 06:52:00,PRESENCE,1,
2020-12-10 06:56:06,PRESENCE,0,
2020-12-10 06:59:12,PRESENCE,1,
2020-12-10 07:08:24,PRESENCE,0,
2020-12-10 07:11:04,PRESENCE,1,
2020-12-10 07:15:12,PRESENCE,0,
2020-12-10 07:18:54,PRESENCE,1,
2020-12-10 07:40:55,PRESENCE,0,
2020-12-10 07:50:46,PRESENCE,1,
2020-12-10 07:58:55,PRESENCE,0,
2020-12-10 08:05:16,PRESENCE,1,
2020-12-10 08:10:22,PRESENCE,0,
2020-12-10 08:53:35,PRESENCE,1,
2020-12-10 08:59:46,PRESENCE,0,
2020-12-10 09:56:14,PRESENCE,1,
2020-12-10 10:00:40,PRESENCE,0,
2020-12-10 10:55:35,PRESENCE,1,
2020-12-10 11:04:41,PRESENCE,0,
2020-12-10 12:47:14,PRESENCE,1,
2020-12-10 12:55:56,PRESENCE,0,
2020-12-10 13:04:03,PRESENCE,1,
2020-12-10 13:14:45,PRESENCE,0,
2020-12-10 13:22:10,PRESENCE,1,
2020-12-10 13:37:32,PRESENCE,0,
2020-12-10 13:46:16,PRESENCE,1,
2020-12-10 13:51:07,PRESENCE,0,
2020-12-10 13:52:43,PRESENCE,1,
2020-12-10 14:07:18,PRESENCE,0,
2020-12-10 14:13:01,PRESENCE,1,
2020-12-10 14:18:01,PRESENCE,0,
2020-12-10 15:17:17,PRESENCE,1,
2020-12-10 15:24:09,PRESENCE,0,
2020-12-10 15:25:52,PRESENCE,1,
2020-12-10 15:29:58,PRESENCE,0,
2020-12-10 18:01:25,PRESENCE,1,
2020-12-10 18:05:51,PRESENCE,0,
2020-12-10 18:19:45,PRESENCE,1,
2020-12-10 18:24:24,PRESENCE,0,
2020-12-10 18:25:23,PRESENCE,1,
2020-12-10 18:31:11,PRESENCE,0,
2020-12-10 18:32:42,PRESENCE,1,
2020-12-10 18:37:26,PRESENCE,0,
2020-12-10 18:42:10,PRESENCE,1,
2020-12-10 18:46:34,PRESENCE,0,
2020-12-10 18:52:40,PRESENCE,1,
2020-12-10 18:58:14,PRESENCE,0,
2020-12-10 19:03:19,PRESENCE,1,
2020-12-10 19:11:38,PRESENCE,0,
2020-12-10 19:30:28,PRESENCE,1,
2020-12-10 19:35:35,PRESENCE,0,
2020-12-10 19:44:57,PRESENCE,1,
2020-12-10 19:49:03,PRESENCE,0,
2020-12-10 19:52:30,PRESENCE,1,
2020-12-10 19:57:00,PRESENCE,0,
2020-12-11 04:21:57,PRESENCE,1,
2020-12-11 04:32:57,PRESENCE,0,
2020-12-11 04:35:50,PRESENCE,1,
2020-12-11 04:40:29,PRESENCE,0,
2020-12-11 05:33:17,PRESENCE,1,
2020-12-11 05:37:43,PRESENCE,0,
2020-12-11 06:28:06,PRESENCE,1,
2020-12-11 06:37:09,PRESENCE,0,
2020-12-11 06:45:53,PRESENCE,1,
2020-12-11 06:51:00,PRESENCE,0,
2020-12-11 06:51:05,PRESENCE,1,
2020-12-11 06:58:56,PRESENCE,0,
2020-12-11 07:00:19,PRESENCE,1,
2020-12-11 07:08:05,PRESENCE,0,
2020-12-11 07:12:28,PRESENCE,1,
2020-12-11 07:17:34,PRESENCE,0,
2020-12-11 07:41:01,PRESENCE,1,
2020-12-11 07:45:46,PRESENCE,0,
2020-12-11 07:54:59,PRESENCE,1,
